00.png	0.6251529	193.26092529296875
01.png	0.49058795	9440.6484375
02.png	0.36753985	908.2940063476562
10.png	0.5024491	1885.6514892578125
11.png	0.5460034	2201.522705078125
12.png	0.42492557	583.1318359375
20.png	0.4855996	1384.7010498046875
21.png	0.5105606	4085.482177734375
22.png	0.41062915	651.605712890625
30.png	0.5050269	1668.10009765625
31.png	0.43029714	3728.69140625
32.png	0.44810084	767.992431640625
40.png	0.47601476	5729.7470703125
41.png	0.25343755	12645.77734375
42.png	0.41026744	833.947998046875
